"id","loss"
4,2281.12965895364
6,2950.36958550772
9,3318.01184690211
12,3182.00252415409
15,2264.97249369473
17,2279.69717163935
21,3566.09329364241
28,1860.02161661444
32,2497.65193295296
43,2611.06144121445
46,3829.49889334997
50,2657.57511868494
54,3789.81121788557
62,3095.13267465522
70,4199.75406855552
71,3163.89047039948
75,2649.80570467201
77,2456.64474149308
81,3950.45413071002
83,2167.33706818676
87,3180.56734665159
97,2545.48072290974
103,3477.88007811835
119,3271.62726527884
120,4009.78922949619
127,3352.08494309462
138,2391.03871316345
141,3705.9174479617
148,3014.60349909792
150,3214.11490564783
151,3286.46190698027
158,2816.14815804215
160,3384.52501071221
165,3262.72649189516
168,2071.26762600681
169,3658.01390639574
177,3082.75585768994
178,2769.11092466082
184,2702.56314209153
194,3551.17091423809
198,2888.60437752195
203,2926.68489795197
211,3434.11716306017
217,3213.0709558969
219,2428.14748375372
221,4121.59631777107
227,2940.85392093035
230,2320.2847238176
235,4075.71102163764
240,3290.38316206096
243,3963.87541864327
249,4015.25988110867
253,2407.24823955955
258,2564.5338862259
261,2271.64902593474
263,2535.79266058603
264,3331.2857847902
265,2725.17529882847
268,3184.73193402274
271,2338.70319799272
274,2812.72463357536
275,3388.10717451915
279,4377.78915650635
282,2950.47991096217
286,2714.66720537049
288,2211.37796495828
294,3888.55360169363
296,2901.32586988898
297,2293.87585066132
300,2727.30741535324
303,3228.78822507298
314,1706.28221923912
315,2630.2750829981
321,3108.46541353444
323,2769.2303784417
330,2114.65048682426
341,2983.89926427372
342,3846.53664454149
352,2791.66900405443
353,2859.52925530141
360,3511.70790131544
361,3028.94105013762
362,3135.21000707008
366,2900.90966210748
372,2310.44988821838
376,2260.74152855459
377,2589.27870940771
379,2549.73110969113
380,2647.83367128502
387,2329.63821367153
392,2046.18925973334
394,3397.21187026171
395,3664.41516584312
397,2378.07118874935
407,4442.94481212864
411,4195.60555008772
416,3370.18002189369
417,2495.20757617315
419,3282.54224118859
428,2657.6896446839
431,2967.11103073398
436,3737.8562650255
438,3617.84095289465
445,3269.39283869331
446,4776.41993057005
455,2819.52081676574
456,2275.09607042919
461,2768.73783881126
463,2703.69756643576
464,2564.29097621508
466,2194.96390707195
467,2746.34405603948
470,3799.67553968739
475,2851.66215179131
482,4758.63836003438
490,2508.63659791712
496,4079.68926066798
497,2481.96832758738
508,3447.24350245773
510,3672.31914292986
512,2074.66506568597
513,4443.14428548632
523,3146.24359609246
531,3124.34062493398
532,4598.2661014644
533,2309.44534148789
537,2934.85032855599
544,3406.56212439083
547,2829.87544329514
556,3148.90930543715
565,2484.07087153199
566,2719.75066907961
571,1822.2434865181
573,1194.38575097767
574,3139.57483363693
581,2587.41634119021
585,3324.96346424614
589,2837.03554705129
597,2482.59721662372
601,2658.07264718112
602,3566.98285897051
613,4023.48134902462
616,2814.78303757682
619,2204.85576643253
622,2961.23167962608
623,2223.16410932146
629,2697.96088083782
634,2405.23734055409
638,2496.60762488156
642,3165.11245986501
643,3201.13767065019
645,2458.09837925433
648,3896.77418620594
652,3292.24442186141
664,2518.2958537413
666,2829.13023823671
672,2250.98190370321
676,3521.90047695193
678,3623.055226624
682,2844.69272679515
686,3185.76016279298
688,2947.48649102127
689,2957.10741706945
690,3560.46717363794
692,4343.79278512623
695,2969.27319977157
697,3080.40903311031
698,2327.08248052763
706,2892.84842218189
708,3149.89820067048
712,1790.87376439269
715,2811.8447037875
717,2391.12081609527
725,2805.27347093782
729,3114.57212816269
737,2822.62210675194
739,4308.06126678051
747,3428.41610445422
753,2364.00506120449
758,3496.24834258419
